UID,category,editModifyDate,startDate,endDate,hitRate,time,locationName,onSale,latitude,longitude,endTime,YearType,Period
5ffc880ad083a3477c3c6f99,4,2021/11/30 18:07:11,2021-12-18 00:00:00,2022-01-15 00:00:00,482,2021/12/18 10:30:00,台江文化中心台江劇場,Y,23.0458793,120.1879872,2021/12/18 23:59:00,Past,28
5ffca1acd083a3477c3c6fd6,6,,2021-01-01 00:00:00,2021-12-31 00:00:00,139,2021/01/01 06:00:00,高雄市政府文化局﹝高雄市文化中心﹞,N,22.6278944,120.31554059999999,2021/12/31 22:00:00,Past,364
5ffca1b0d083a3477c3c6fef,6,,2021-01-01 00:00:00,2021-12-31 00:00:00,28,2021/01/01 09:00:00,水交社文化園區,N,,,2021/12/31 17:00:00,Past,364
5ffca1b0d083a3477c3c6ff0,6,,2021-01-01 00:00:00,2021-12-31 00:00:00,26,2021/01/01 09:00:00,水交社文化園區,N,,,2021/12/31 17:00:00,Past,364
5ffca1b0d083a3477c3c6ff1,6,,2021-01-01 00:00:00,2021-12-31 00:00:00,70,2021/01/01 09:00:00,水交社文化園區,Y,,,2021/12/31 17:00:00,Past,364
5ffca1b1d083a3477c3c6ff2,6,,2021-01-01 00:00:00,2021-12-31 00:00:00,26,2021/01/01 09:00:00,水交社文化園區,N,,,2021/12/31 17:00:00,Past,364
5ffca1b1d083a3477c3c6ff3,6,,2021-01-01 00:00:00,2021-12-31 00:00:00,22,2021/01/01 09:00:00,水交社文化園區,N,,,2021/12/31 17:00:00,Past,364
5ffdf3b9d083a330884e9032,15,,2021-01-02 00:00:00,2021-12-26 00:00:00,830,2021/01/02 16:00:00,高雄市政府文化局﹝高雄市文化中心﹞,N,22.6278944,120.31554059999999,2021/12/26 21:30:00,Past,358
6000962cd083a330884e909d,6,,2021-01-01 00:00:00,2021-12-31 00:00:00,38,2021/01/01 09:30:00,新北市立淡水古蹟博物館,Y,,,2021/12/31 18:00:00,Past,364
6000962dd083a330884e909e,6,,2021-01-01 00:00:00,2021-12-31 00:00:00,60,2021/01/01 09:30:00,淡水街長多田榮吉故居,N,,,2021/12/31 18:00:00,Past,364
6000962ed083a330884e90a5,19,,2021-01-01 00:00:00,2021-12-31 00:00:00,46,2021/01/01 10:30:00,臺北市立圖書館中崙分館,N,,,2021/12/31 12:00:00,Past,364
6000962fd083a330884e90a6,7,,2021-01-01 00:00:00,2021-12-31 00:00:00,28,2021/01/01 10:00:00,臺北市立圖書館舊莊分館,N,,,2021/12/31 11:30:00,Past,364
6000962fd083a330884e90a7,7,,2021-01-01 00:00:00,2021-12-31 00:00:00,67,2021/01/01 14:30:00,臺北市立圖書館松山分館,N,,,2021/12/31 16:00:00,Past,364
6000962fd083a330884e90a9,7,,2021-01-01 00:00:00,2021-12-31 00:00:00,32,2021/01/01 14:30:00,臺北市立圖書館南港分館,N,,,2021/12/31 16:00:00,Past,364
6000962fd083a330884e90ab,7,,2021-01-01 00:00:00,2021-12-31 00:00:00,22,2021/01/01 10:30:00,臺北市立圖書館民生分館,N,,,2021/12/31 12:00:00,Past,364
60009630d083a330884e90ad,7,,2021-01-01 00:00:00,2021-12-31 00:00:00,16,2021/01/01 14:30:00,臺北市立圖書館民生分館,N,,,2021/12/31 16:30:00,Past,364
60009630d083a330884e90b0,19,,2021-01-01 00:00:00,2021-12-31 00:00:00,106,2021/01/01 10:30:00,臺北市立圖書館三民分館,N,,,2021/12/31 12:00:00,Past,364
60009631d083a330884e90b2,7,,2021-01-01 00:00:00,2021-12-31 00:00:00,17,2021/01/01 10:30:00,臺北市立圖書館親子美育數位圖書館,N,,,2021/12/31 11:10:00,Past,364
60009631d083a330884e90b6,6,,2021-01-01 00:00:00,2021-12-31 00:00:00,22,2021/01/01 08:00:00,卓蘭鎮（苗栗縣）=,N,,,2021/12/31 12:00:00,Past,364
60009634d083a330884e90ca,7,,2021-01-01 00:00:00,2021-12-31 00:00:00,9,2021/01/01 10:00:00,臺北市立圖書館大同分館,N,,,2021/12/31 11:30:00,Past,364
60009635d083a330884e90cb,7,,2021-01-01 00:00:00,2021-12-31 00:00:00,6,2021/01/01 10:00:00,臺北市立圖書館長安分館,N,,,2021/12/31 11:30:00,Past,364
60009635d083a330884e90cc,7,,2021-01-01 00:00:00,2021-12-31 00:00:00,5,2021/01/01 14:30:00,臺北市立圖書館建成分館,N,,,2021/12/31 16:00:00,Past,364
60009635d083a330884e90ce,7,,2021-01-01 00:00:00,2021-12-31 00:00:00,5,2021/01/01 14:30:00,臺北市立圖書館永建分館,N,,,2021/12/31 16:00:00,Past,364
60009635d083a330884e90cf,7,,2021-01-01 00:00:00,2021-12-31 00:00:00,1,2021/01/01 10:30:00,臺北市立圖書館萬興分館,N,,,2021/12/31 12:00:00,Past,364
60009635d083a330884e90d0,7,,2021-01-01 00:00:00,2021-12-31 00:00:00,2,2021/01/01 10:30:00,臺北市立圖書館王貫英先生紀念圖書館,N,,,2021/12/31 12:00:00,Past,364
60009636d083a330884e90d1,7,,2021-01-01 00:00:00,2021-12-31 00:00:00,2,2021/01/01 10:30:00,臺北市立圖書館景美分館,N,,,2021/12/31 12:00:00,Past,364
60009636d083a330884e90d2,7,,2021-01-01 00:00:00,2021-12-31 00:00:00,61,2021/01/01 14:30:00,臺北市立圖書館木柵分館,N,,,2021/12/31 16:00:00,Past,364
60009636d083a330884e90d3,7,,2021-01-01 00:00:00,2021-12-31 00:00:00,3,2021/01/01 10:00:00,臺北市立圖書館文山分館,N,,,2021/12/31 11:30:00,Past,364
60009636d083a330884e90d4,7,,2021-01-01 00:00:00,2021-12-31 00:00:00,4,2021/01/01 10:30:00,臺北市立圖書館力行分館,N,,,2021/12/31 12:00:00,Past,364
60009636d083a330884e90d5,7,,2021-01-01 00:00:00,2021-12-31 00:00:00,1,2021/01/01 10:00:00,臺北市立圖書館道藩分館,N,,,2021/12/31 11:30:00,Past,364
60009636d083a330884e90d6,7,,2021-01-01 00:00:00,2021-12-31 00:00:00,1,2021/01/01 10:30:00,臺北市立圖書館景新分館,N,,,2021/12/31 11:00:00,Past,364
